ヘッダ情報:伝票No.(伝票No.),ヘッダ情報:出張申請伝票No.(申請No.),ヘッダ情報:行数,明細情報:明細No.,明細情報:明細日付(日付),明細情報:明細時刻(開始)(時刻),明細情報:明細時刻(終了)(時刻),明細情報:出発地(出発),明細情報:到着地(到着),明細情報:交通機関(交通機関他),明細情報:金額(金額),明細情報:証票(領収証),明細情報:手当1CD(日当(選択)),明細情報:手当2CD(宿泊料(選択)),明細情報:手当3CD(滞在費補助(選択)),明細情報:フリー１(備考),明細情報:勘定科目名,明細情報:小計(小計),ヘッダ情報:手当計(手当計),ヘッダ情報:合計(合計),ヘッダ情報:申請者CD(申請者),ヘッダ情報:申請者名(申請者),ヘッダ情報:承認実行者1名,ヘッダ情報:承認日1,ヘッダ情報:承認実行者2名,ヘッダ情報:承認日2,ヘッダ情報:承認実行者3名,ヘッダ情報:承認日3,ヘッダ情報:承認実行者4名,ヘッダ情報:承認日4,ヘッダ情報:承認実行者5名,ヘッダ情報:承認日5
MEBAS0017756,,9,1,2026/03/24,15:30:00,18:00:00,大塚（東京）,茅野,電車･ﾊﾞｽ,3520,証票なし,002,,012,,旅費交通費,3520,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,2,2026/03/24,16:00:00,18:00:00,新宿,茅野,電車･ﾊﾞｽ,2140,証票あり,,,,特急券,旅費交通費,2140,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,3,2026/03/24,18:00:00,18:30:00,茅野,ホテル,車(同乗),0,証票なし,,,,,旅費交通費,0,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,4,2026/03/24,18:00:00,08:00:00,ホテル,,ﾎﾃﾙ,12600,証票あり,,,,２泊分,旅費交通費,12600,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,5,2026/03/25,09:00:00,18:40:00,シムテック,,作業･打合せ,0,証票なし,,,,WO-00337606,旅費交通費,0,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,6,2026/03/26,09:00:00,16:30:00,シムテック,,作業･打合せ,0,証票なし,,,,WO-00337606,旅費交通費,0,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,7,2026/03/26,16:30:00,16:50:00,シムテック,茅野,車(同乗),0,証票なし,,,,,旅費交通費,0,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,8,2026/03/26,16:50:00,19:00:00,茅野,立川,電車･ﾊﾞｽ,2140,証票あり,,,,特急券 中央線人身事故,旅費交通費,2140,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017756,,9,9,2026/03/26,16:50:00,19:30:00,茅野,北朝霞,電車･ﾊﾞｽ,3520,証票なし,,,,中央線人身事故,旅費交通費,3520,12100,36020,AZ000126,内田　修平,中田　雅史,2026/04/02,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017797,,5,1,2026/03/30,07:10:00,09:45:00,新木,新白河,電車･ﾊﾞｽ,6490,証票あり,001,,,通勤経路：日暮里　8：０6,旅費交通費,6490,1700,14680,AH000121,岩岬　一尋,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
